Accident_severity,Number_of_casualties,Time,Day_of_week,Area_accident_occured,Types_of_Junction,Road_allignment,Lanes_or_Medians,Weather_conditions,Light_conditions,Road_surface_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Age_band_of_driver,Driving_experience,Sex_of_driver,Type_of_vehicle,Hour,Time_period,severity_score,is_weekend
slight injury,1,1900-01-01 09:45:00,sunday,church areas,crossing,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to pedestrian,over 51,5-10yr,male,pick up upto 10q,9,morning,1,True
slight injury,1,1900-01-01 17:35:00,thursday,residential areas,y shape,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,18-30,2-5yr,male,lorry (41?100q),17,afternoon,1,False
slight injury,1,1900-01-01 17:35:00,thursday,office areas,y shape,tangent road with mild grade and flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the right,18-30,2-5yr,male,public (13?45 seats),17,afternoon,1,False
slight injury,1,1900-01-01 17:35:00,thursday,office areas,y shape,tangent road with mild grade and flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the left,31-50,2-5yr,male,long lorry,17,afternoon,1,False
slight injury,1,1900-01-01 20:50:00,sunday,residential areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,collision with pedestrians,going straight,driving carelessly,18-30,2-5yr,male,automobile,20,evening,1,True
slight injury,1,1900-01-01 20:50:00,sunday,church areas,no junction,tangent road with flat terrain,other,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,driving carelessly,over 51,above 10yr,male,automobile,20,evening,1,True
slight injury,2,1900-01-01 21:32:00,thursday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,no distancing,18-30,above 10yr,male,other,21,evening,1,False
slight injury,2,1900-01-01 21:32:00,thursday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,other,31-50,5-10yr,male,automobile,21,evening,1,False
slight injury,1,1900-01-01 19:55:00,monday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,changing lane to the right,18-30,5-10yr,male,long lorry,19,evening,1,False
slight injury,1,1900-01-01 19:55:00,monday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,changing lane to the right,18-30,2-5yr,male,public (12 seats),19,evening,1,False
slight injury,1,1900-01-01 16:10:00,monday,other,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,parked,no distancing,18-30,5-10yr,male,public (12 seats),16,afternoon,1,False
slight injury,1,1900-01-01 16:10:00,monday,residential areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,going straight,no distancing,over 51,5-10yr,male,other,16,afternoon,1,False
