Accident_severity,Number_of_casualties,Time,Day_of_week,Area_accident_occured,Types_of_Junction,Road_allignment,Lanes_or_Medians,Weather_conditions,Light_conditions,Road_surface_conditions,Type_of_collision,Vehicle_movement,Cause_of_accident,Age_band_of_driver,Driving_experience,Sex_of_driver,Type_of_vehicle,Hour,Time_period,severity_score,is_weekend
slight injury,1,1900-01-01 13:30:00,tuesday,office areas,y shape,tangent road with flat terrain,one way,normal,daylight,dry,vehicle with vehicle collision,going straight,no distancing,18-30,1-2yr,male,lorry (41?100q),13,afternoon,1,False
slight injury,1,1900-01-01 13:30:00,tuesday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,going straight,driving carelessly,18-30,above 10yr,male,automobile,13,afternoon,1,False
slight injury,1,1900-01-01 07:25:00,thursday,office areas,t shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,going straight,no priority to pedestrian,31-50,5-10yr,male,public (12 seats),7,morning,1,False
slight injury,1,1900-01-01 07:25:00,thursday,other,t shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,moving backward,driving carelessly,18-30,2-5yr,male,automobile,7,morning,1,False
slight injury,1,1900-01-01 21:54:00,thursday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,moving backward,31-50,above 10yr,male,stationwagen,21,evening,1,False
slight injury,1,1900-01-01 21:54:00,thursday,residential areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,collision with roadside objects,other,no distancing,18-30,2-5yr,female,automobile,21,evening,1,False
slight injury,1,1900-01-01 12:46:00,friday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),raining,daylight,wet or damp,collision with roadside objects,going straight,no distancing,18-30,above 10yr,male,lorry (41?100q),12,afternoon,1,False
slight injury,4,1900-01-01 19:47:00,friday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,no distancing,18-30,above 10yr,male,other,19,evening,1,False
slight injury,4,1900-01-01 19:47:00,friday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,changing lane to the left,18-30,2-5yr,male,pick up upto 10q,19,evening,1,False
slight injury,4,1900-01-01 19:47:00,friday,other,y shape,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,changing lane to the left,18-30,above 10yr,male,automobile,19,evening,1,False
slight injury,4,1900-01-01 19:47:00,friday,industrial areas,y shape,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,wet or damp,collision with roadside objects,going straight,moving backward,18-30,above 10yr,male,lorry (41?100q),19,evening,1,False
slight injury,4,1900-01-01 19:47:00,friday,industrial areas,y shape,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,wet or damp,vehicle with vehicle collision,moving backward,changing lane to the right,18-30,below 1yr,female,automobile,19,evening,1,False
slight injury,4,1900-01-01 19:47:00,friday,church areas,y shape,tangent road with flat terrain,double carriageway (median),normal,darkness - lights lit,wet or damp,collision with roadside-parked vehicles,going straight,no priority to vehicle,18-30,above 10yr,female,public (13?45 seats),19,evening,1,False
slight injury,1,1900-01-01 17:21:00,tuesday,other,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,moving backward,over 51,above 10yr,male,automobile,17,afternoon,1,False
slight injury,1,1900-01-01 17:21:00,tuesday,other,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with roadside objects,going straight,driving carelessly,31-50,5-10yr,male,lorry (41?100q),17,afternoon,1,False
slight injury,3,1900-01-01 17:25:00,friday,office areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,31-50,5-10yr,male,public (12 seats),17,afternoon,1,False
slight injury,3,1900-01-01 17:25:00,friday,office areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,driving under the influence of drugs,31-50,5-10yr,male,motorcycle,17,afternoon,1,False
slight injury,3,1900-01-01 17:25:00,friday,residential areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to pedestrian,31-50,5-10yr,male,public (12 seats),17,afternoon,1,False
slight injury,3,1900-01-01 17:25:00,friday,industrial areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to vehicle,31-50,below 1yr,male,lorry (41?100q),17,afternoon,1,False
slight injury,3,1900-01-01 17:25:00,friday,office areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,31-50,5-10yr,male,automobile,17,afternoon,1,False
slight injury,1,1900-01-01 07:35:00,wednesday,other,no junction,tangent road with flat terrain,undivided two way,raining,daylight,wet or damp,collision with roadside-parked vehicles,going straight,moving backward,31-50,2-5yr,male,lorry (41?100q),7,morning,1,False
slight injury,1,1900-01-01 07:35:00,wednesday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),raining,daylight,wet or damp,collision with roadside-parked vehicles,going straight,driving carelessly,31-50,2-5yr,male,stationwagen,7,morning,1,False
slight injury,1,1900-01-01 07:35:00,wednesday,residential areas,no junction,tangent road with flat terrain,undivided two way,raining,daylight,wet or damp,collision with animals,going straight,no priority to vehicle,31-50,2-5yr,male,pick up upto 10q,7,morning,1,False
serious injury,1,1900-01-01 15:20:00,wednesday,office areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with animals,other,changing lane to the right,18-30,2-5yr,male,automobile,15,afternoon,2,False
slight injury,1,1900-01-01 06:40:00,thursday,residential areas,crossing,tangent road with flat terrain,other,normal,darkness - lights lit,dry,collision with animals,going straight,changing lane to the left,31-50,above 10yr,male,automobile,6,morning,1,False
slight injury,1,1900-01-01 06:40:00,thursday,office areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,collision with animals,going straight,no priority to vehicle,18-30,2-5yr,male,automobile,6,morning,1,False
slight injury,2,1900-01-01 14:33:00,sunday,church areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with animals,going straight,driving carelessly,31-50,1-2yr,male,other,14,afternoon,1,True
slight injury,2,1900-01-01 14:33:00,sunday,residential areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with animals,going straight,moving backward,31-50,2-5yr,male,automobile,14,afternoon,1,True
slight injury,2,1900-01-01 14:33:00,sunday,school areas,y shape,tangent road with flat terrain,other,normal,daylight,dry,collision with animals,going straight,overtaking,over 51,1-2yr,male,public (13?45 seats),14,afternoon,1,True
slight injury,2,1900-01-01 14:33:00,sunday,hospital areas,y shape,steep grade downward with mountainous terrain,other,normal,daylight,dry,collision with animals,going straight,changing lane to the left,over 51,5-10yr,male,public (13?45 seats),14,afternoon,1,True
slight injury,2,1900-01-01 14:33:00,sunday,other,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with animals,moving backward,changing lane to the right,18-30,5-10yr,male,automobile,14,afternoon,1,True
slight injury,2,1900-01-01 14:33:00,sunday,school areas,y shape,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,collision with animals,going straight,overtaking,18-30,2-5yr,male,public (12 seats),14,afternoon,1,True
serious injury,1,1900-01-01 07:20:00,wednesday,other,y shape,tangent road with flat terrain,other,normal,daylight,wet or damp,collision with animals,going straight,overloading,18-30,below 1yr,male,public (12 seats),7,morning,2,False
serious injury,1,1900-01-01 10:04:00,thursday,industrial areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with animals,going straight,other,over 51,5-10yr,male,lorry (41?100q),10,morning,2,False
slight injury,1,1900-01-01 14:20:00,saturday,church areas,other,tangent road with flat terrain,two-way (divided with broken lines road marking),other,daylight,wet or damp,other,going straight,no priority to vehicle,18-30,above 10yr,male,automobile,14,afternoon,1,True
slight injury,1,1900-01-01 14:20:00,saturday,office areas,other,tangent road with flat terrain,two-way (divided with broken lines road marking),other,daylight,wet or damp,rollover,going straight,changing lane to the right,18-30,1-2yr,female,pick up upto 10q,14,afternoon,1,True
slight injury,2,1900-01-01 19:50:00,monday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),raining,darkness - lights lit,wet or damp,collision with animals,going straight,moving backward,18-30,5-10yr,female,pick up upto 10q,19,evening,1,False
slight injury,2,1900-01-01 19:50:00,monday,office areas,no junction,tangent road with flat terrain,double carriageway (median),raining,darkness - lights lit,wet or damp,rollover,going straight,changing lane to the left,18-30,1-2yr,male,lorry (41?100q),19,evening,1,False
slight injury,2,1900-01-01 19:50:00,monday,office areas,no junction,tangent road with flat terrain,double carriageway (median),raining,darkness - lights lit,wet or damp,collision with animals,going straight,no priority to pedestrian,18-30,above 10yr,male,automobile,19,evening,1,False
slight injury,1,1900-01-01 10:20:00,tuesday,office areas,no junction,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,collision with animals,going straight,no distancing,18-30,below 1yr,male,stationwagen,10,morning,1,False
slight injury,1,1900-01-01 10:20:00,tuesday,residential areas,no junction,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to vehicle,18-30,2-5yr,male,motorcycle,10,morning,1,False
slight injury,1,1900-01-01 15:20:00,wednesday,office areas,no junction,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,fall from vehicles,going straight,no distancing,31-50,5-10yr,male,automobile,15,afternoon,1,False
slight injury,1,1900-01-01 11:53:00,saturday,other,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with roadside-parked vehicles,going straight,no distancing,18-30,5-10yr,male,other,11,morning,1,True
slight injury,1,1900-01-01 06:46:00,tuesday,industrial areas,other,tangent road with flat terrain,one way,normal,daylight,dry,collision with roadside-parked vehicles,other,moving backward,18-30,1-2yr,male,automobile,6,morning,1,False
slight injury,1,1900-01-01 06:46:00,tuesday,other,other,tangent road with flat terrain,one way,normal,daylight,dry,rollover,going straight,changing lane to the right,31-50,5-10yr,male,automobile,6,morning,1,False
slight injury,1,1900-01-01 01:10:00,wednesday,office areas,y shape,tangent road with flat terrain,double carriageway (median),normal,darkness - lights lit,wet or damp,collision with animals,going straight,no priority to pedestrian,31-50,5-10yr,male,automobile,1,night,1,False
slight injury,1,1900-01-01 01:10:00,wednesday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,wet or damp,collision with animals,going straight,moving backward,18-30,2-5yr,male,public (> 45 seats),1,night,1,False
slight injury,1,1900-01-01 08:50:00,monday,other,o shape,tangent road with flat terrain,double carriageway (median),raining,daylight,wet or damp,fall from vehicles,going straight,getting off the vehicle improperly,under 18,1-2yr,male,automobile,8,morning,1,False
slight injury,1,1900-01-01 08:50:00,monday,other,o shape,tangent road with flat terrain,two-way (divided with broken lines road marking),raining,daylight,wet or damp,collision with roadside-parked vehicles,going straight,overtaking,18-30,5-10yr,male,other,8,morning,1,False
slight injury,2,1900-01-01 12:38:00,thursday,office areas,crossing,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,collision with animals,going straight,overloading,18-30,2-5yr,male,automobile,12,afternoon,1,False
slight injury,2,1900-01-01 12:38:00,thursday,office areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with animals,going straight,changing lane to the right,31-50,no licence,male,other,12,afternoon,1,False
slight injury,2,1900-01-01 12:38:00,thursday,office areas,crossing,tangent road with flat terrain,undivided two way,normal,daylight,dry,collision with pedestrians,other,improper parking,31-50,above 10yr,male,lorry (41?100q),12,afternoon,1,False
fatal injury,2,1900-01-01 16:30:00,thursday,other,no junction,tangent road with flat terrain,undivided two way,raining,daylight,wet or damp,vehicle with vehicle collision,going straight,other,31-50,above 10yr,male,pick up upto 10q,16,afternoon,3,False
fatal injury,2,1900-01-01 16:30:00,thursday,other,no junction,tangent road with flat terrain,undivided two way,raining,daylight,wet or damp,vehicle with vehicle collision,going straight,changing lane to the left,31-50,5-10yr,male,public (13?45 seats),16,afternoon,3,False
fatal injury,2,1900-01-01 16:30:00,thursday,recreational areas,no junction,tangent road with flat terrain,undivided two way,raining,daylight,wet or damp,collision with pedestrians,going straight,changing lane to the right,over 51,2-5yr,male,automobile,16,afternoon,3,False
slight injury,1,1900-01-01 17:40:00,wednesday,church areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to pedestrian,18-30,2-5yr,female,pick up upto 10q,17,afternoon,1,False
slight injury,1,1900-01-01 17:40:00,wednesday,recreational areas,no junction,tangent road with flat terrain,other,normal,daylight,dry,collision with roadside objects,going straight,overspeed,18-30,below 1yr,male,automobile,17,afternoon,1,False
serious injury,1,1900-01-01 05:50:00,tuesday,school areas,no junction,tangent road with flat terrain,other,other,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,changing lane to the left,31-50,above 10yr,male,lorry (41?100q),5,night,2,False
serious injury,1,1900-01-01 05:50:00,tuesday,church areas,no junction,tangent road with flat terrain,double carriageway (median),other,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,no priority to vehicle,18-30,above 10yr,female,automobile,5,night,2,False
fatal injury,1,1900-01-01 06:53:00,wednesday,office areas,other,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,changing lane to the right,over 51,2-5yr,male,lorry (41?100q),6,morning,3,False
fatal injury,1,1900-01-01 06:53:00,wednesday,residential areas,other,steep grade downward with mountainous terrain,one way,normal,darkness - lights lit,wet or damp,rollover,going straight,no distancing,18-30,2-5yr,male,lorry (41?100q),6,morning,3,False
slight injury,1,1900-01-01 09:59:00,tuesday,other,no junction,tangent road with flat terrain,one way,cloudy,daylight,dry,vehicle with vehicle collision,moving backward,no priority to pedestrian,over 51,above 10yr,male,lorry (41?100q),9,morning,1,False
slight injury,1,1900-01-01 09:59:00,tuesday,other,no junction,tangent road with flat terrain,undivided two way,cloudy,daylight,dry,vehicle with vehicle collision,going straight,no distancing,18-30,5-10yr,male,public (13?45 seats),9,morning,1,False
slight injury,1,1900-01-01 14:30:00,saturday,industrial areas,crossing,tangent road with flat terrain,one way,normal,daylight,wet or damp,vehicle with vehicle collision,going straight,no priority to vehicle,under 18,below 1yr,male,automobile,14,afternoon,1,True
slight injury,1,1900-01-01 14:30:00,saturday,church areas,crossing,steep grade downward with mountainous terrain,other,normal,daylight,wet or damp,collision with pedestrians,going straight,other,18-30,below 1yr,male,other,14,afternoon,1,True
slight injury,3,1900-01-01 17:50:00,thursday,office areas,y shape,tangent road with flat terrain,other,other,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,driving carelessly,18-30,below 1yr,male,other,17,afternoon,1,False
slight injury,3,1900-01-01 17:50:00,thursday,office areas,y shape,tangent road with flat terrain,undivided two way,other,darkness - lights lit,wet or damp,collision with roadside objects,moving backward,changing lane to the left,31-50,5-10yr,male,other,17,afternoon,1,False
slight injury,3,1900-01-01 17:50:00,thursday,office areas,y shape,tangent road with flat terrain,double carriageway (median),other,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,driving carelessly,31-50,5-10yr,male,automobile,17,afternoon,1,False
slight injury,3,1900-01-01 17:50:00,thursday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),other,darkness - lights lit,wet or damp,rollover,other,changing lane to the left,31-50,5-10yr,male,other,17,afternoon,1,False
slight injury,1,1900-01-01 19:08:00,friday,office areas,no junction,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,wet or damp,vehicle with vehicle collision,other,no priority to vehicle,18-30,5-10yr,male,lorry (41?100q),19,evening,1,False
slight injury,1,1900-01-01 13:11:00,monday,other,no junction,tangent road with flat terrain,double carriageway (median),normal,daylight,dry,vehicle with vehicle collision,going straight,no distancing,over 51,2-5yr,male,public (12 seats),13,afternoon,1,False
slight injury,1,1900-01-01 13:11:00,monday,industrial areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the right,31-50,5-10yr,male,lorry (41?100q),13,afternoon,1,False
slight injury,1,1900-01-01 13:11:00,monday,residential areas,no junction,tangent road with flat terrain,other,normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the right,18-30,2-5yr,male,public (12 seats),13,afternoon,1,False
slight injury,1,1900-01-01 12:43:00,monday,other,t shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,driving at high speed,18-30,below 1yr,male,lorry (41?100q),12,afternoon,1,False
slight injury,1,1900-01-01 12:43:00,monday,other,t shape,tangent road with flat terrain,one way,normal,daylight,dry,collision with roadside objects,other,no distancing,under 18,2-5yr,male,other,12,afternoon,1,False
slight injury,1,1900-01-01 08:49:00,monday,other,no junction,tangent road with flat terrain,one way,normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the right,31-50,2-5yr,male,lorry (41?100q),8,morning,1,False
slight injury,1,1900-01-01 08:49:00,monday,other,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,getting off,changing lane to the left,18-30,2-5yr,male,automobile,8,morning,1,False
slight injury,1,1900-01-01 18:27:00,sunday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,collision with roadside objects,going straight,getting off the vehicle improperly,18-30,5-10yr,male,public (> 45 seats),18,evening,1,True
slight injury,1,1900-01-01 11:00:00,saturday,residential areas,crossing,steep grade downward with mountainous terrain,other,normal,daylight,dry,collision with roadside objects,going straight,other,18-30,5-10yr,male,lorry (41?100q),11,morning,1,True
slight injury,1,1900-01-01 11:00:00,saturday,office areas,crossing,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,other,under 18,5-10yr,male,other,11,morning,1,True
slight injury,2,1900-01-01 12:30:00,friday,office areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,no distancing,18-30,5-10yr,male,other,12,afternoon,1,False
slight injury,2,1900-01-01 12:30:00,friday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to vehicle,under 18,2-5yr,male,automobile,12,afternoon,1,False
slight injury,2,1900-01-01 12:30:00,friday,other,no junction,tangent road with flat terrain,one way,normal,daylight,dry,vehicle with vehicle collision,going straight,overtaking,under 18,below 1yr,male,lorry (41?100q),12,afternoon,1,False
serious injury,1,1900-01-01 15:52:00,saturday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,collision with roadside objects,moving backward,no priority to pedestrian,31-50,1-2yr,male,pick up upto 10q,15,afternoon,2,True
slight injury,2,1900-01-01 07:55:00,monday,office areas,y shape,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,no distancing,18-30,below 1yr,male,automobile,7,morning,1,False
slight injury,2,1900-01-01 07:55:00,monday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,other,changing lane to the right,31-50,above 10yr,male,automobile,7,morning,1,False
slight injury,2,1900-01-01 07:55:00,monday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,31-50,below 1yr,male,other,7,morning,1,False
slight injury,1,1900-01-01 18:10:00,thursday,residential areas,other,tangent road with flat terrain,two-way (divided with broken lines road marking),other,darkness - lights lit,dry,vehicle with vehicle collision,going straight,changing lane to the right,18-30,2-5yr,male,automobile,18,evening,1,False
serious injury,1,1900-01-01 06:50:00,saturday,other,no junction,tangent road with flat terrain,undivided two way,raining,darkness - no lighting,wet or damp,vehicle with vehicle collision,going straight,overtaking,31-50,1-2yr,male,stationwagen,6,morning,2,True
slight injury,2,1900-01-01 20:20:00,thursday,office areas,y shape,tangent road with flat terrain,undivided two way,raining,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,other,18-30,5-10yr,male,other,20,evening,1,False
slight injury,2,1900-01-01 20:20:00,thursday,office areas,y shape,tangent road with flat terrain,undivided two way,raining,darkness - lights lit,wet or damp,collision with roadside objects,going straight,driving to the left,31-50,below 1yr,male,automobile,20,evening,1,False
slight injury,2,1900-01-01 20:20:00,thursday,other,y shape,tangent road with flat terrain,undivided two way,raining,darkness - lights lit,wet or damp,vehicle with vehicle collision,moving backward,driving at high speed,under 18,below 1yr,male,ridden horse,20,evening,1,False
slight injury,1,1900-01-01 11:15:00,thursday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),raining,daylight,wet or damp,collision with pedestrians,going straight,no distancing,18-30,below 1yr,male,automobile,11,morning,1,False
slight injury,1,1900-01-01 11:15:00,thursday,other,no junction,tangent road with flat terrain,undivided two way,raining,daylight,wet or damp,collision with roadside objects,going straight,changing lane to the right,over 51,1-2yr,male,other,11,morning,1,False
slight injury,1,1900-01-01 20:45:00,monday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,collision with roadside objects,going straight,no distancing,18-30,5-10yr,male,lorry (41?100q),20,evening,1,False
slight injury,1,1900-01-01 20:45:00,monday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,other,31-50,2-5yr,male,lorry (41?100q),20,evening,1,False
slight injury,1,1900-01-01 08:40:00,friday,other,y shape,steep grade downward with mountainous terrain,two-way (divided with broken lines road marking),other,daylight,wet or damp,rollover,going straight,no priority to vehicle,18-30,below 1yr,male,lorry (41?100q),8,morning,1,False
slight injury,1,1900-01-01 18:00:00,friday,church areas,no junction,tangent road with flat terrain,other,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,changing lane to the left,31-50,5-10yr,male,stationwagen,18,evening,1,False
slight injury,1,1900-01-01 18:00:00,friday,industrial areas,no junction,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,no priority to pedestrian,18-30,5-10yr,male,lorry (41?100q),18,evening,1,False
slight injury,1,1900-01-01 09:40:00,monday,other,no junction,tangent road with flat terrain,undivided two way,other,daylight,dry,vehicle with vehicle collision,going straight,overtaking,18-30,5-10yr,male,automobile,9,morning,1,False
slight injury,1,1900-01-01 09:40:00,monday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),other,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,31-50,2-5yr,male,automobile,9,morning,1,False
slight injury,1,1900-01-01 16:48:00,wednesday,office areas,no junction,tangent road with mountainous terrain and,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to vehicle,18-30,above 10yr,female,pick up upto 10q,16,afternoon,1,False
slight injury,1,1900-01-01 16:48:00,wednesday,other,no junction,tangent road with flat terrain,one way,normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to pedestrian,31-50,5-10yr,male,taxi,16,afternoon,1,False
slight injury,1,1900-01-01 15:50:00,monday,recreational areas,no junction,steep grade downward with mountainous terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,other,changing lane to the right,18-30,above 10yr,male,automobile,15,afternoon,1,False
slight injury,1,1900-01-01 16:30:00,thursday,other,no junction,steep grade downward with mountainous terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,18-30,2-5yr,male,automobile,16,afternoon,1,False
slight injury,1,1900-01-01 17:40:00,friday,church areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,dry,collision with roadside objects,going straight,changing lane to the right,over 51,below 1yr,male,automobile,17,afternoon,1,False
slight injury,1,1900-01-01 17:40:00,friday,residential areas,no junction,tangent road with flat terrain,undivided two way,normal,darkness - lights lit,dry,vehicle with vehicle collision,going straight,changing lane to the right,18-30,below 1yr,male,long lorry,17,afternoon,1,False
slight injury,1,1900-01-01 17:20:00,monday,office areas,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),raining,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,changing lane to the left,18-30,5-10yr,male,public (12 seats),17,afternoon,1,False
slight injury,1,1900-01-01 09:17:00,tuesday,other,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,dry,vehicle with vehicle collision,going straight,overturning,18-30,2-5yr,male,pick up upto 10q,9,morning,1,False
slight injury,1,1900-01-01 09:17:00,tuesday,office areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,18-30,below 1yr,male,automobile,9,morning,1,False
slight injury,1,1900-01-01 03:59:00,monday,office areas,y shape,tangent road with flat terrain,other,raining,darkness - lights lit,wet or damp,collision with pedestrians,moving backward,no distancing,18-30,2-5yr,male,other,3,night,1,False
slight injury,1,1900-01-01 16:00:00,tuesday,other,no junction,escarpments,one way,normal,daylight,dry,vehicle with vehicle collision,going straight,driving carelessly,18-30,5-10yr,male,lorry (41?100q),16,afternoon,1,False
slight injury,1,1900-01-01 16:00:00,tuesday,residential areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the left,under 18,above 10yr,male,automobile,16,afternoon,1,False
slight injury,1,1900-01-01 15:19:00,sunday,recreational areas,no junction,tangent road with flat terrain,one way,normal,daylight,dry,vehicle with vehicle collision,going straight,no priority to vehicle,31-50,above 10yr,male,pick up upto 10q,15,afternoon,1,True
slight injury,1,1900-01-01 15:19:00,sunday,church areas,no junction,tangent road with flat terrain,undivided two way,normal,daylight,dry,vehicle with vehicle collision,going straight,changing lane to the right,31-50,5-10yr,male,lorry (41?100q),15,afternoon,1,True
slight injury,1,1900-01-01 08:00:00,monday,other,no junction,tangent road with flat terrain,one way,other,daylight,wet or damp,vehicle with vehicle collision,going straight,no distancing,18-30,1-2yr,male,lorry (41?100q),8,morning,1,False
slight injury,1,1900-01-01 08:00:00,monday,other,no junction,tangent road with flat terrain,undivided two way,other,daylight,wet or damp,vehicle with vehicle collision,going straight,moving backward,under 18,5-10yr,male,long lorry,8,morning,1,False
slight injury,2,1900-01-01 13:24:00,monday,other,y shape,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,daylight,wet or damp,collision with roadside objects,going straight,overtaking,over 51,5-10yr,male,public (> 45 seats),13,afternoon,1,False
slight injury,2,1900-01-01 13:24:00,monday,residential areas,y shape,tangent road with flat terrain,other,normal,daylight,wet or damp,vehicle with vehicle collision,getting off,changing lane to the left,over 51,1-2yr,male,public (> 45 seats),13,afternoon,1,False
slight injury,1,1900-01-01 17:06:00,thursday,school areas,no junction,tangent road with flat terrain,other,raining,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,changing lane to the right,18-30,5-10yr,male,automobile,17,afternoon,1,False
slight injury,1,1900-01-01 19:55:00,wednesday,church areas,no junction,tangent road with flat terrain,two-way (divided with broken lines road marking),normal,darkness - lights lit,wet or damp,vehicle with vehicle collision,going straight,overtaking,31-50,above 10yr,male,automobile,19,evening,1,False
slight injury,1,1900-01-01 19:55:00,wednesday,other,no junction,tangent road with flat terrain,other,normal,darkness - lights lit,wet or damp,vehicle with vehicle collision,turnover,overloading,18-30,below 1yr,female,automobile,19,evening,1,False
